date,high,low,close
2000-03-16,109.8100,107.8700,109.0000
2000-03-17,111.6900,107.6900,110.0000
2000-03-20,113.3700,109.9400,112.7500
2000-03-21,114.6900,111.9400,113.5000
2000-03-22,115.3700,113.8700,114.2500
2000-03-23,115.8700,111.6200,115.2500
2000-03-24,122.2500,115.0600,120.6200
2000-03-27,128.2500,124.6200,126.8700
2000-03-28,127.0000,122.0600,122.5000
2000-03-29,122.4400,118.5000,119.0000
2000-03-30,123.0000,118.6900,122.7500
2000-03-31,123.7500,117.0600,118.3700
2000-04-03,122.3700,119.4400,122.0000
2000-04-04,126.9400,115.0600,121.1900
2000-04-05,125.7500,119.7500,125.0000
2000-04-06,128.0000,122.6200,122.7500
2000-04-07,125.6900,121.5000,123.1200
2000-04-10,125.3700,121.5600,122.1200
2000-04-11,121.6200,117.8100,119.3700
2000-04-12,119.6200,111.6900,113.7500
2000-04-13,114.3100,110.0000,110.6200
2000-04-14,112.7500,102.8700,105.0000
2000-04-17,112.2500,103.3100,111.8700
2000-04-18,115.1200,110.0600,111.5000
2000-04-19,109.7500,102.8100,105.0000
2000-04-20,105.2500,102.0600,104.0000
2000-04-24,107.1900,101.2500,106.5000
2000-04-25,113.0000,106.4400,112.5000
2000-04-26,113.9400,109.0000,110.5000
2000-04-27,113.1200,108.6900,110.6200
2000-04-28,112.6900,110.1200,111.5000
2000-05-01,113.1900,110.4400,112.0000
2000-05-02,113.6200,110.6900,111.3700
2000-05-03,111.1200,106.5600,108.1200
2000-05-04,109.1900,107.1900,107.6200
2000-05-05,109.6200,106.5000,107.8700
2000-05-08,110.3700,107.6200,109.7500
2000-05-09,110.6200,108.2500,109.0000
2000-05-10,105.6900,102.0600,103.0000
2000-05-11,107.5000,103.1900,104.4400
2000-05-12,105.7500,103.2500,104.4400
2000-05-15,104.8700,102.0000,104.1900
2000-05-16,109.2500,105.0000,109.0000
2000-05-17,108.8700,106.1200,107.8700
2000-05-18,107.3100,104.6900,106.0600
2000-05-19,107.5000,105.0000,106.4400
2000-05-22,109.2500,103.4400,109.2500
2000-05-23,110.0000,107.1200,107.3700
2000-05-24,110.0000,104.1900,109.6200
2000-05-25,112.2500,106.3700,106.5000
2000-05-26,107.1900,104.5600,106.9400
2000-05-30,111.0000,107.6900,110.9400
2000-05-31,110.7500,107.1900,107.3100
2000-06-01,108.9400,105.5000,106.0000
2000-06-02,109.7500,107.6200,108.8100
2000-06-05,114.1900,108.4400,112.8100
2000-06-06,114.6200,111.2500,112.3700
2000-06-07,121.7500,111.5000,121.0000
2000-06-08,122.3100,117.5000,119.7500
2000-06-09,120.7500,118.8700,119.6900
2000-06-12,120.4400,118.8400,118.8400
2000-06-13,119.9400,116.7500,119.3100
2000-06-14,120.0000,115.5000,116.0000
2000-06-15,119.0000,115.8700,116.8100
2000-06-16,117.6900,113.2500,113.2500
2000-06-19,120.3700,113.2500,120.3700
2000-06-20,120.6900,115.3700,116.3700
2000-06-21,115.9400,113.5000,114.5000
2000-06-22,114.3100,111.2500,111.8100
2000-06-23,113.6200,110.8100,111.8700
2000-06-26,115.7500,112.8700,114.4100
2000-06-27,112.8100,108.7500,109.7500
2000-06-28,115.1900,109.8700,113.7800
2000-06-29,114.3700,110.0600,114.0000
2000-06-30,113.1900,108.6200,109.5600
2000-07-03,109.8700,108.3100,109.5000
2000-07-05,105.6200,101.1200,105.0000
2000-07-06,105.1200,100.0000,101.2500
2000-07-07,105.0600,101.6200,105.0600
2000-07-10,104.9400,102.8700,103.3100
2000-07-11,104.0000,101.0000,102.0000
2000-07-12,105.8700,102.6200,104.6200
2000-07-13,105.9400,102.0000,104.0000
2000-07-14,104.8700,103.1200,103.9400
2000-07-17,107.8700,104.1900,105.5000
2000-07-18,104.8100,102.6200,103.3100
2000-07-19,109.5000,101.0000,108.7500
2000-07-20,117.8100,111.7500,117.2500
2000-07-21,117.0000,113.7500,114.7500
2000-07-24,115.6200,111.6200,112.5000
2000-07-25,113.3700,110.2500,112.0000
2000-07-26,112.3700,108.8700,109.8700
2000-07-27,111.5000,109.3100,110.3100
2000-07-28,112.5000,108.8700,111.8100
2000-07-31,113.6900,110.0600,112.2500
2000-08-01,112.4400,110.2500,110.5000
2000-08-02,114.8700,110.7500,114.2500
2000-08-03,116.5000,112.3100,116.0000
2000-08-04,116.5000,114.3100,115.8700
2000-08-07,119.0000,115.8100,116.3100
2000-08-08,119.6200,115.5600,118.8700
2000-08-09,120.8100,118.7500,118.7500
2000-08-10,120.2500,117.8700,119.7500
2000-08-11,121.8100,119.1900,120.6200
2000-08-14,123.6900,119.3100,123.2500
2000-08-15,122.6200,120.7500,122.0000
2000-08-16,122.9400,119.5000,122.3700
2000-08-17,122.8100,119.5000,122.5000
2000-08-18,123.3700,120.1200,120.4400
2000-08-21,122.1900,120.0600,121.4400
2000-08-22,122.1900,121.0000,121.3700
2000-08-23,123.7500,119.8700,123.2500
2000-08-24,125.4400,122.6900,124.8100
2000-08-25,129.8800,124.2500,129.0000
2000-08-28,133.1900,129.7500,131.5000
2000-08-29,134.2500,131.0000,132.8800
2000-08-30,131.5000,129.5600,130.3100
2000-08-31,134.1900,131.6300,132.0200
2000-09-01,134.9400,132.6300,133.6300
2000-09-05,133.3100,130.8100,131.1900
2000-09-06,134.8800,130.3800,131.4400
2000-09-07,134.5000,131.8800,133.3800
2000-09-08,132.9400,129.3800,129.5000
2000-09-11,128.2500,123.6200,124.5000
2000-09-12,126.8700,124.0600,125.0000
2000-09-13,128.8100,122.7500,127.6900
2000-09-14,129.1900,126.3100,126.8700
2000-09-15,127.2500,124.7500,125.0000
2000-09-18,126.0000,123.0600,123.2500
2000-09-19,126.2500,122.5600,124.9400
2000-09-20,126.5600,123.5000,124.7500
2000-09-21,126.6900,120.0000,121.5000
2000-09-22,124.3100,121.3100,123.8700
2000-09-25,126.6200,121.0000,123.0000
2000-09-26,121.8700,118.3700,119.1200
2000-09-27,120.3100,115.5000,118.0000
2000-09-28,118.8700,115.0000,115.2500
2000-09-29,116.9400,110.2500,112.6200
2000-10-02,119.6200,112.6200,117.8100
2000-10-03,119.3700,110.0000,110.5600
2000-10-04,114.8700,108.5600,114.3700
2000-10-05,114.5600,111.5600,113.1900
2000-10-06,116.1200,112.7500,116.0000
2000-10-09,119.3700,114.3100,117.9400
2000-10-10,117.1200,112.4400,114.8700
2000-10-11,112.9400,107.5000,112.0000
2000-10-12,114.3700,103.1200,103.1200
2000-10-13,110.4400,104.1900,109.0600
2000-10-16,113.1200,108.5600,111.1200
2000-10-17,113.8700,108.5600,113.0000
2000-10-18,99.1200,90.2500,95.4400
2000-10-19,98.5000,92.6900,96.4400
2000-10-20,96.2500,94.1900,94.7500
2000-10-23,95.0000,91.0600,92.8700
2000-10-24,94.3700,90.1900,91.4400
2000-10-25,90.9400,86.9400,87.5600
2000-10-26,92.8700,87.6200,92.7500
2000-10-27,93.6900,91.0000,93.6900
2000-10-30,93.7500,90.3100,93.3100
2000-10-31,99.1200,93.7500,98.5000
2000-11-01,99.8700,97.2500,98.5600
2000-11-02,102.3100,98.5000,101.9400
2000-11-03,102.6200,99.3700,100.1200
2000-11-06,102.3700,99.4400,100.3100
2000-11-07,103.5000,100.6900,102.3100
2000-11-08,103.7500,99.2500,100.0000
2000-11-09,100.0000,95.6900,99.4400
2000-11-10,98.3700,93.0000,93.0000
2000-11-13,99.4400,91.6200,97.4400
2000-11-14,99.8700,98.5000,99.5000
2000-11-15,100.0600,97.6200,99.3700
2000-11-16,99.6900,98.2500,98.2500
2000-11-17,102.5000,98.2500,101.9400
2000-11-20,103.2500,100.8700,103.2500
2000-11-21,104.3700,98.5000,98.5000
2000-11-22,100.8100,98.3100,98.5000
2000-11-24,101.7500,99.2500,99.9400
2000-11-27,102.0000,98.4400,98.4400
2000-11-28,100.7500,97.3700,97.8700
2000-11-29,99.9400,96.6900,99.8100
